abbreviation,full_string
ADP,American Delta Party
AIP,American Independent 
AM,American Party
AMC,American Constitution Party
AMP,America’s Party
AMS,American Shopping
AO,Americanindependents.org
APV,Approval Voting Party
ASP,American Solidarity Party
BFA,Better for America
BLM,Blue Lives Matter
BP,By Petition
C,Conservative
CCS,Courage Character Service
CON,Constitution 
CPF,Constitution Party of Florida 
CRV,Conservative
DEM,Democratic 
DCG,D.C. Statehood Green
DFL,Democratic-Farmer Labor
DNL,Democratic-Nonpartisan League
EG,Economic Growth
FFP,Forefathers Party
FI,Financial Independence
FPR,For Political Revolution
GI,Green Independent 
GPF,Green Party of Florida
GR,Green-Rainbow
GRE,Green 
HBP,Haris Bhatti
HRP,The Human Rights Party
IAP,Independent American Party
IDP,Independence
IG,Iowa Green
IND,Independent 
INP,Independent/No Party
IOC,It's Our Children
IP,Independent Party
IPC,Independent People of Colorado
KFP,Kotlikoff for President
LBF,Libertarian Party of Florida
LBU,Liberty Union
LCP,Lincoln Caucus Party
LFC,Life Family Constitution
LIB,Libertarian 
LMN,Legal Marijuana Now
LMP,Legalize Marijuana Party
LTC,Loyal Trustworthy Compassion
MGW,Make Government Work
MTP,Mountain Party
N,Nonpartisan
NAF,Nonaffiliated
NBP,New Beginning's
NLP,Natural Law Party
NNE,None
NOP,No Party Preference
NP,Nominated by Petition
NPA,No Party Affiliation
NPI,New Independent Party Iowa
NPP,New Progressive Party
NPY,No Political Party
NRP,Nonviolent Resistance/Pacifist
NSA,NSA Did 911
NTP,Nutrition Party
OTH,Other
P,Prohibition Party
PAF,Peace and Freedom
PCC,People's Choice
PG,Pacific Green 
PIP,People's Independent Progressive
PPD,Popular Democratic Party
PPT,Party of the Working People
PRI,Puerto Rican Independence Party
PRO,Progressive
PSL,Party for Socialism and Liberation
REP,Republican 
REF,Reform
RNN,Representing the 99%
RPF,Reform Party of Florida
SEA,Socialism Equality Anti-War
SID,Stop Iran Deal
SLP,Socialism and Liberation Party
SOC,Socialist Party USA
SRP,System Reboot Party
STG,Statehood Green
SUA,Standupamerica Party
SWP,Socialist Workers Party
TC,Trump Conservative
TED,Teddy Roosevelt Progressive
TGP,Transparent Government
TRP,Tax Revolt
U,Unenrolled
UN,Unaffiliated 
UPC,Unity Party of Colorado
UPJ,Upstate Jobs
USM,United States Marijuana
UST,U.S. Taxpayers 
VP,Veterans Party
VPA,Veterans Party of America
W,Write-In
WC,Working Class
WDB,We Deserve Better
WEP,Women's Equality Party
WF,Working Families 
WG,Wisconsin Green
WOP,Women of Power
WRN,We R Independent Party
WTP,We the People
WUA,Wake Up America
WW,Workers World
AL,Alabama
AK,Alaska
AZ,Arizona
AR,Arkansas
CA,California
CO,Colorado
CT,Connecticut
DE,Delaware
DC,District of Columbia
FL,Florida
GA,Georgia
HI,Hawaii
ID,Idaho
IL,Illinois
IN,Indiana
IA,Iowa
KS,Kansas
KY,Kentucky
LA,Louisiana
ME,Maine
MD,Maryland
MA,Massachusetts
MI,Michigan
MN,Minnesota
MS,Mississippi
MO,Missouri
MT,Montana
NE,Nebraska
NV,Nevada
NH,New Hampshire
NJ,New Jersey
NM,New Mexico
NY,New York
NC,North Carolina
ND,North Dakota
OH,Ohio
OK,Oklahoma
OR,Oregon
PA,Pennsylvania
RI,Rhode Island
SC,South Carolina
SD,South Dakota
TN,Tennessee
TX,Texas
UT,Utah
VT,Vermont
VA,Virginia
WA,Washington
WV,West Virginia
WI,Wisconsin
WY,Wyoming
Christ,Jesus Christ
Abstain,Abstain
Adams,Paul Adams
AllOthers,All Others
Allen,Stephen L. Allen
Anderson,James Anderson
Anyone Else,Anyone Else
Asherie,Neer R. Asherie
Atwood,Frank Atwood
Baird,Dustin Baird
Ball,Dennis Andrew Ball
Bartlett,Henry Bartlett
Basiago,Andrew D. Basiago
Belichek,Bill (William) Belichek
Bell,James Jerome Bell
Bickelmeyer,Michael Bickelmeyer
Biden,Joe Biden
Blickley,Mark   Blickley
Bloomberg,Michael Bloomberg
Blumenthal,Paul E. Blumenthal
Bolar,Shelia Bolar
Boring,Paij Boring
Bowhall,William E. Jr. Bowhall
Boyles,Michael David Boyles
Brady,Tom (Thomas) Brady
Breivogel,Joann Breivogel
BrownR,Ray C. Brown
BrownD,Dana E. Brown
BrownT,Theodis Sr. Brown
Brumfield,Author C. Brumfield
Buchanan,Robert L. Buchanan
Buffet,Warren Buffet
Buffett,Jimmy Buffett
Burton,Jamin Burton
Bush,Jeb  Bush
Byrne,David C. Byrne
Canns,Gary S. Canns
Carlisle,Martin Carlisle
